item_id,timestamp,target_value
m4_hourly_dataset_98,2001-05-25 00:00:00,2973.0
m4_hourly_dataset_98,2001-05-25 01:00:00,2959.0
m4_hourly_dataset_98,2001-05-25 02:00:00,2919.0
m4_hourly_dataset_98,2001-05-25 03:00:00,2901.0
m4_hourly_dataset_98,2001-05-25 04:00:00,2924.0
m4_hourly_dataset_98,2001-05-25 05:00:00,2856.0
m4_hourly_dataset_98,2001-05-25 06:00:00,2872.0
m4_hourly_dataset_98,2001-05-25 07:00:00,2825.0
m4_hourly_dataset_98,2001-05-25 08:00:00,2756.0
m4_hourly_dataset_98,2001-05-25 09:00:00,2733.0
m4_hourly_dataset_98,2001-05-25 10:00:00,2775.0
m4_hourly_dataset_98,2001-05-25 11:00:00,2792.0
m4_hourly_dataset_98,2001-05-25 12:00:00,2764.0
m4_hourly_dataset_98,2001-05-25 13:00:00,2566.0
m4_hourly_dataset_98,2001-05-25 14:00:00,2626.0
m4_hourly_dataset_98,2001-05-25 15:00:00,2652.0
m4_hourly_dataset_98,2001-05-25 16:00:00,2813.0
m4_hourly_dataset_98,2001-05-25 17:00:00,2845.0
m4_hourly_dataset_98,2001-05-25 18:00:00,2886.0
m4_hourly_dataset_98,2001-05-25 19:00:00,2815.0
m4_hourly_dataset_98,2001-05-25 20:00:00,2881.0
m4_hourly_dataset_98,2001-05-25 21:00:00,2863.0
m4_hourly_dataset_98,2001-05-25 22:00:00,2914.0
m4_hourly_dataset_98,2001-05-25 23:00:00,2939.0
m4_hourly_dataset_98,2001-05-26 00:00:00,2894.0
m4_hourly_dataset_98,2001-05-26 01:00:00,2889.0
m4_hourly_dataset_98,2001-05-26 02:00:00,2893.0
m4_hourly_dataset_98,2001-05-26 03:00:00,2910.0
m4_hourly_dataset_98,2001-05-26 04:00:00,2895.0
m4_hourly_dataset_98,2001-05-26 05:00:00,2896.0
m4_hourly_dataset_98,2001-05-26 06:00:00,2872.0
m4_hourly_dataset_98,2001-05-26 07:00:00,2817.0
m4_hourly_dataset_98,2001-05-26 08:00:00,2786.0
m4_hourly_dataset_98,2001-05-26 09:00:00,2780.0
m4_hourly_dataset_98,2001-05-26 10:00:00,2731.0
m4_hourly_dataset_98,2001-05-26 11:00:00,2661.0
m4_hourly_dataset_98,2001-05-26 12:00:00,2580.0
m4_hourly_dataset_98,2001-05-26 13:00:00,2500.0
m4_hourly_dataset_98,2001-05-26 14:00:00,2522.0
m4_hourly_dataset_98,2001-05-26 15:00:00,2551.0
m4_hourly_dataset_98,2001-05-26 16:00:00,2604.0
m4_hourly_dataset_98,2001-05-26 17:00:00,2583.0
m4_hourly_dataset_98,2001-05-26 18:00:00,2538.0
m4_hourly_dataset_98,2001-05-26 19:00:00,2512.0
m4_hourly_dataset_98,2001-05-26 20:00:00,2486.0
m4_hourly_dataset_98,2001-05-26 21:00:00,2454.0
m4_hourly_dataset_98,2001-05-26 22:00:00,2480.0
m4_hourly_dataset_98,2001-05-26 23:00:00,2492.0
m4_hourly_dataset_98,2001-05-27 00:00:00,2505.0
m4_hourly_dataset_98,2001-05-27 01:00:00,2481.0
m4_hourly_dataset_98,2001-05-27 02:00:00,2442.0
m4_hourly_dataset_98,2001-05-27 03:00:00,2434.0
m4_hourly_dataset_98,2001-05-27 04:00:00,2438.0
m4_hourly_dataset_98,2001-05-27 05:00:00,2469.0
m4_hourly_dataset_98,2001-05-27 06:00:00,2461.0
m4_hourly_dataset_98,2001-05-27 07:00:00,2436.0
m4_hourly_dataset_98,2001-05-27 08:00:00,2361.0
m4_hourly_dataset_98,2001-05-27 09:00:00,2346.0
m4_hourly_dataset_98,2001-05-27 10:00:00,2351.0
m4_hourly_dataset_98,2001-05-27 11:00:00,2357.0
m4_hourly_dataset_98,2001-05-27 12:00:00,2352.0
m4_hourly_dataset_98,2001-05-27 13:00:00,2237.0
m4_hourly_dataset_98,2001-05-27 14:00:00,2327.0
m4_hourly_dataset_98,2001-05-27 15:00:00,2339.0
m4_hourly_dataset_98,2001-05-27 16:00:00,2347.0
m4_hourly_dataset_98,2001-05-27 17:00:00,2346.0
m4_hourly_dataset_98,2001-05-27 18:00:00,2343.0
m4_hourly_dataset_98,2001-05-27 19:00:00,2374.0
m4_hourly_dataset_98,2001-05-27 20:00:00,2399.0
m4_hourly_dataset_98,2001-05-27 21:00:00,2414.0
m4_hourly_dataset_98,2001-05-27 22:00:00,2402.0
m4_hourly_dataset_98,2001-05-27 23:00:00,2453.0
m4_hourly_dataset_98,2001-05-28 00:00:00,2407.0
m4_hourly_dataset_98,2001-05-28 01:00:00,2424.0
m4_hourly_dataset_98,2001-05-28 02:00:00,2408.0
m4_hourly_dataset_98,2001-05-28 03:00:00,2381.0
m4_hourly_dataset_98,2001-05-28 04:00:00,2411.0
m4_hourly_dataset_98,2001-05-28 05:00:00,2464.0
m4_hourly_dataset_98,2001-05-28 06:00:00,2460.0
m4_hourly_dataset_98,2001-05-28 07:00:00,2331.0
m4_hourly_dataset_98,2001-05-28 08:00:00,2055.0
m4_hourly_dataset_98,2001-05-28 09:00:00,1993.0
m4_hourly_dataset_98,2001-05-28 10:00:00,1930.0
m4_hourly_dataset_98,2001-05-28 11:00:00,1975.0
m4_hourly_dataset_98,2001-05-28 12:00:00,2015.0
m4_hourly_dataset_98,2001-05-28 13:00:00,1852.0
m4_hourly_dataset_98,2001-05-28 14:00:00,1842.0
m4_hourly_dataset_98,2001-05-28 15:00:00,2000.0
m4_hourly_dataset_98,2001-05-28 16:00:00,2048.0
m4_hourly_dataset_98,2001-05-28 17:00:00,2131.0
m4_hourly_dataset_98,2001-05-28 18:00:00,2164.0
m4_hourly_dataset_98,2001-05-28 19:00:00,2344.0
m4_hourly_dataset_98,2001-05-28 20:00:00,2396.0
m4_hourly_dataset_98,2001-05-28 21:00:00,2449.0
m4_hourly_dataset_98,2001-05-28 22:00:00,2385.0
m4_hourly_dataset_98,2001-05-28 23:00:00,2369.0
m4_hourly_dataset_98,2001-05-29 00:00:00,2313.0
m4_hourly_dataset_98,2001-05-29 01:00:00,2302.0
m4_hourly_dataset_98,2001-05-29 02:00:00,2095.0
